SearchTerm,PageNum,Rank,Sponsered,ProductURL,Title,ASIN,SalesPrice,ListPrice,RatingsCount,AvgRating
mortin,1,57,False,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1,"Amazon Basic Care Ibuprofen Liquid Gels 200 mg, Pain Reliever/Fever Reducer Liquid-Filled Capsules, For Headache, Toothache, Backache, Menstrual Cramps and More, 160 Count",B074F2TF6J,,,"6,617",4.8 out of 5 stars
mortin,1,58,False,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1,"20 Sheets EasYeah Kid Fever Patches for Kids Fever Discomfort & Pain Relief, Cooling Relief Fever Reducer, Soothe Headache Pain, Pack of 20",B08NZGC8QZ,"$14
99",$25.99,"1,003",4.3 out of 5 stars
mortin,2,1,False,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1,"NatraCure Cold Therapy Wrap (Regular) with 14"" Strap - Small Reusable Gel Ice Pack Support Compress for Injuries and Pain Relief, Hand, Arch of Foot, Wrist, Elbow, Arthritis, Neuropathy - FBA715 CAT",B00IK032Q6,"$12
99",$14.99,"7,938",4.3 out of 5 stars
mortin,2,2,False,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1,"10 Sheets EasYeah Kids Cooling Patches for Fever Discomfort & Pain Relief, Cooling Relief Fever Reducer, Soothe Headache Pain, Pack of 10",B09416G9CP,"$8
99",$11.99,628,4.4 out of 5 stars
mortin,2,3,False,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1,"EVOLVE UP Fast Acting Migraine Relief Cap, Headache Hat for Migraine, Headache Relief, Sinus Tension Headache Relief, Natural Migraine Relief, Double Layer Gel Ice Mask, Therapeutic Migraine Mask",B0BKT3TMTQ,"$26
99",,25,4.9 out of 5 stars
mortin,2,4,False,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1,HAVASU NUTRITION Ashwagandha Capsules with Artichoke Extract to Support Stress Response & Mood Support (1000 mg),B06XC9CZWN,"$15
99",,"3,006",4.4 out of 5 stars
mortin,2,5,False,https://www.amazon.com/Nu-Salt-Substitute-Shaker-Ounce-Pack/dp/B07MVJTL81/ref=sr_1_53,"NU-SALT Substitute, Sodium-free, 3 Oz (3 Pack)",B07MVJTL81,"$6
96",,"2,172",4.2 out of 5 stars
mortin,2,6,False,https://www.amazon.com/Terrarium-Tarantula-Enclosure-Transparent-Invertebrates/dp/B08RBWXXZD/ref=sr_1_54,2 Pack Acrylic Reptile Terrarium Insect Tarantula Enclosure Tank Snail Spider Habitat Cage Mini Critter Keeper Insect Carrier Transparent Reptile Isopods Lizards Roach Invertebrates Insect Feeding Box,B08RBWXXZD,"$21
99",,266,4.0 out of 5 stars
mortin,2,7,False,https://www.amazon.com/ChefSofi-Mortar-Pestle-Set-Anti-Scratch/dp/B01HXWT40E/ref=sr_1_55,ChefSofi Mortar and Pestle Set - 6 Inch - 2 Cup Capacity - Unpolished Heavy Granite for Enhanced Performance and Organic Appearance - Included: Anti-Scratch Protector,B01HXWT40E,"$38
99",,"17,913",4.7 out of 5 stars
mortin,2,8,False,https://www.amazon.com/Childrens-Tylenol-Suspension-Medicine-Acetaminophen/dp/B0055348DM/ref=sr_1_56,"Tylenol Children's Liquid Oral Suspension Medicine, Acetaminophen Pain Reliever & Fever Reducer, Aspirin-, Ibuprofen- & Alcohol-Free, Cherry, 4 Fl. Oz",B0055348DM,,,"7,451",4.8 out of 5 stars
