SearchTerm,PageNum,Rank,Sponsered,ProductURL,Title,ASIN,SalesPrice,ListPrice,RatingsCount,AvgRating
pepsico,2,19,False,https://www.amazon.com/Starry-Lemon-Lime-12oz-24pk/dp/B0BCXC698M/ref=sr_1_67,"Starry Lemon Lime, Flavored Soda, 12 Fl Oz Cans, 24 Pack",B0BCXC698M,,,24,4.2 out of 5 stars
pepsico,2,20,False,https://www.amazon.com/16-Pack-Mountain-Kickstart-Fruit/dp/B00EZBA3Z2/ref=sr_1_68,Mountain Dew Kickstart - Fruit Punch - 16fl oz (Pack of 16),B00EZBA3Z2,,,3,3.9 out of 5 stars
pepsico,2,21,False,https://www.amazon.com/Tostitos-Reduced-Crispy-Rounds-Tortilla/dp/B06Y2CQ254/ref=sr_1_69,"Tostitos Reduced Fat Crispy Rounds Tortilla Chips, 104 Count",B06Y2CQ254,,,"30,600",4.5 out of 5 stars
pepsico,2,22,False,https://www.amazon.com/Sparkling-Juice-Flavor-Sunset-Variety/dp/B07FNCXSTL/ref=sr_1_70,"Izze Sparkling Juice, 4 Flavor Sunset Variety Pack, 8.4 Fl Oz (Pack of 24)",B07FNCXSTL,,,"36,306",4.7 out of 5 stars
pepsico,2,23,False,https://www.amazon.com/Tostitos-Fiesta-Ranch-Topper-9oz/dp/B0BGJPJ5F3/ref=sr_1_71,"Tostitos Fiesta Ranch Topper, 9oz",B0BGJPJ5F3,,,,
pepsico,2,24,False,https://www.amazon.com/bubly-Lemon-Sorbet-12oz-8pk/dp/B0BG9128VN/ref=sr_1_72,"bubly Sparkling Water, Lemon Sorbet, 12oz Cans (8 Pack)",B0BG9128VN,,,3,3.2 out of 5 stars
pepsico,2,25,False,https://www.amazon.com/Gatorade-Powder-Lemon-0-10oz-Packets/dp/B09NS1289N/ref=sr_1_73,"Gatorade G Zero Powder, Lemon Lime, 0.10oz Packets, 10 Count (Pack of 12)",B09NS1289N,,,"9,187",4.7 out of 5 stars
pepsico,2,26,False,https://www.amazon.com/Off-Eaten-Path-Jalapeno-Flavored/dp/B0BYG7WXKY/ref=sr_1_74,"Off The Eaten Path Rice & Veggie Crisps Jalapeno Flavored, 1.25 Ounce (Pack of 16)",B0BYG7WXKY,,,"6,128",4.6 out of 5 stars
pepsico,2,27,False,https://www.amazon.com/Baked-Tostitos-Scoops-Tortilla-Chips/dp/B06Y2D66TT/ref=sr_1_75,Baked Tostitos Oven Baked Scoops Tortilla Chips 0.87 Ounce (Pack of 72),B06Y2D66TT,,,"1,109",4.6 out of 5 stars
pepsico,2,28,False,https://www.amazon.com/Cheetos-Flamin-Hot-Puffs-Ounce/dp/B01M27ZOYR/ref=sr_1_76,"Cheetos, Flamin' Hot Puffs, 3 Ounce",B01M27ZOYR,,,16,3.9 out of 5 stars
